county_fips,year,state,state_po,county_name,office,candidate,party,candidatevotes,totalvotes,version,mode,inctot,mortamt1,avrg_age,ftotinc,foodstmp_1_freq,foodstmp_2_freq,sex_2_freq,sex_1_freq,marst_5_freq,marst_6_freq,marst_1_freq,marst_4_freq,marst_3_freq,marst_2_freq,race_1_freq,race_2_freq,race_7_freq,race_8_freq,race_5_freq,race_6_freq,race_3_freq,race_4_freq,race_9_freq,ctz_stat_1_freq,ctz_stat_3_freq,ctz_stat_2_freq,lang_1_freq,lang_2_freq,educ_attain_2.0_freq,educ_attain_1.0_freq,educ_attain_3.0_freq,educ_attain_4.0_freq,empstat_1.0_freq,empstat_3.0_freq,empstat_2.0_freq
10005,2016,DELAWARE,DE,SUSSEX,US PRESIDENT,OTHER,OTHER,4064,106008,20220315,TOTAL,32523.4,824.4,53.3,62692.1,90.8,9.2,52.4,47.6,7.6,17.5,59.9,11.5,2,1.7,86.9,8.8,0.9,1.1,0,1.2,0.6,0.4,0.1,94.2,2.8,3,93.4,6.6,45.9,40.3,12,1.8,48.5,49.7,1.8
10005,2020,DELAWARE,DE,SUSSEX,US PRESIDENT,OTHER,GREEN,437,129352,20220315,TOTAL,32045.1,845.2,55,65638.7,90.9,9.1,53.6,46.4,8.6,18.3,57.5,12.1,1.6,2,85,7.7,1.9,3.7,0,0.8,0.8,0.2,0,95,1.9,3.1,94.1,5.9,49,37,12.3,1.7,45.6,51.8,2.7
10005,2020,DELAWARE,DE,SUSSEX,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,1003,129352,20220315,TOTAL,32045.1,845.2,55,65638.7,90.9,9.1,53.6,46.4,8.6,18.3,57.5,12.1,1.6,2,85,7.7,1.9,3.7,0,0.8,0.8,0.2,0,95,1.9,3.1,94.1,5.9,49,37,12.3,1.7,45.6,51.8,2.7
10005,2020,DELAWARE,DE,SUSSEX,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,71230,129352,20220315,TOTAL,32045.1,845.2,55,65638.7,90.9,9.1,53.6,46.4,8.6,18.3,57.5,12.1,1.6,2,85,7.7,1.9,3.7,0,0.8,0.8,0.2,0,95,1.9,3.1,94.1,5.9,49,37,12.3,1.7,45.6,51.8,2.7
10005,2020,DELAWARE,DE,SUSSEX,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,56682,129352,20220315,TOTAL,32045.1,845.2,55,65638.7,90.9,9.1,53.6,46.4,8.6,18.3,57.5,12.1,1.6,2,85,7.7,1.9,3.7,0,0.8,0.8,0.2,0,95,1.9,3.1,94.1,5.9,49,37,12.3,1.7,45.6,51.8,2.7
1003,2008,ALABAMA,AL,BALDWIN,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,61271,81413,20220315,TOTAL,27222.4,902.2,48.6,53308.6,94.2,5.8,52.5,47.5,8.3,12.1,63.4,13.2,1.3,1.6,91.1,6.5,0.4,0.5,0,0.6,0.5,0.1,0.2,97.1,1.3,1.6,97.1,2.9,51.8,39.3,8.4,0.5,54.1,43.5,2.4
1003,2008,ALABAMA,AL,BALDWIN,US PRESIDENT,BARACK OBAMA,DEMOCRAT,19386,81413,20220315,TOTAL,27222.4,902.2,48.6,53308.6,94.2,5.8,52.5,47.5,8.3,12.1,63.4,13.2,1.3,1.6,91.1,6.5,0.4,0.5,0,0.6,0.5,0.1,0.2,97.1,1.3,1.6,97.1,2.9,51.8,39.3,8.4,0.5,54.1,43.5,2.4
1003,2008,ALABAMA,AL,BALDWIN,US PRESIDENT,OTHER,OTHER,756,81413,20220315,TOTAL,27222.4,902.2,48.6,53308.6,94.2,5.8,52.5,47.5,8.3,12.1,63.4,13.2,1.3,1.6,91.1,6.5,0.4,0.5,0,0.6,0.5,0.1,0.2,97.1,1.3,1.6,97.1,2.9,51.8,39.3,8.4,0.5,54.1,43.5,2.4
1003,2012,ALABAMA,AL,BALDWIN,US PRESIDENT,BARACK OBAMA,DEMOCRAT,18424,85338,20220315,TOTAL,24059.7,753.5,49.5,46878.3,91.1,8.9,51.5,48.5,7.6,17.2,60.3,11.1,1.8,2,90.1,7.6,0.5,0.8,0,0.5,0.5,0,0,97,2,0.9,95.9,4.1,51,39.2,8.5,1.4,51.3,43.3,5.3
1003,2012,ALABAMA,AL,BALDWIN,US PRESIDENT,MITT ROMNEY,REPUBLICAN,66016,85338,20220315,TOTAL,24059.7,753.5,49.5,46878.3,91.1,8.9,51.5,48.5,7.6,17.2,60.3,11.1,1.8,2,90.1,7.6,0.5,0.8,0,0.5,0.5,0,0,97,2,0.9,95.9,4.1,51,39.2,8.5,1.4,51.3,43.3,5.3
1003,2012,ALABAMA,AL,BALDWIN,US PRESIDENT,OTHER,OTHER,898,85338,20220315,TOTAL,24059.7,753.5,49.5,46878.3,91.1,8.9,51.5,48.5,7.6,17.2,60.3,11.1,1.8,2,90.1,7.6,0.5,0.8,0,0.5,0.5,0,0,97,2,0.9,95.9,4.1,51,39.2,8.5,1.4,51.3,43.3,5.3
